,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES,BIKE_CAPACITY,Cages,Hoops,Locker,Other,Parkiteer,STATION_CODE,PARKING_CAPACITY
0,sunbury,-37.579091,144.727319,1.0,25.0,0.0,0.0,0.0,0.0,1.0,SUY,565.0
1,diggers rest,-37.627016999999995,144.719922,1.0,25.0,0.0,0.0,0.0,0.0,1.0,DIT,548.0
2,stony point,-38.374235,145.221837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,STY,8.0
3,crib point,-38.366123,145.204043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,20.0
4,morradoo,-38.354033,145.189602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MRO,10.0
5,bittern,-38.33739,145.178027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BIT,50.0
6,hastings,-38.305659,145.18598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,HST,20.0
7,tyabb,-38.259814999999996,145.186401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TAB,20.0
8,somerville,-38.225342,145.176245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SVE,70.0
9,baxter,-38.194043,145.160526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BXR,15.0
10,glen iris,-37.859308,145.058225,1.0,6.0,0.0,0.0,6.0,0.0,0.0,GIR,70.0
11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
12,darling,-37.868957,145.062951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DLG,309.0
13,east malvern,-37.87693,145.069393,1.0,32.0,0.0,0.0,6.0,0.0,1.0,EMV,676.0
14,holmesglen,-37.874401999999996,145.090662,1.0,10.0,0.0,0.0,10.0,0.0,0.0,HOL,195.0
15,jordanville,-37.873602999999996,145.11209,1.0,10.0,0.0,0.0,10.0,0.0,0.0,JOR,155.0
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
19,belgrave,-37.909102,145.355291,1.0,26.0,0.0,0.0,4.0,0.0,1.0,BEG,170.0
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
23,ashburton,-37.861968,145.081344,1.0,9.0,0.0,1.0,6.0,0.0,0.0,ASH,252.0
24,burwood,-37.851563,145.080511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BWD,184.0
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
27,riversdale,-37.831505,145.069646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RIV,139.0
28,camberwell,-37.826567,145.058697,3.0,6.0,0.0,0.0,6.0,0.0,0.0,CAM,75.0
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
30,frankston,-38.14299,145.126162,2.0,74.0,0.0,1.0,16.0,1.0,2.0,FKN,413.0
31,kananook,-38.121742,145.13529499999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KAN,136.0
32,seaford,-38.104020999999996,145.12823,1.0,39.0,0.0,1.0,8.0,0.0,1.0,SEA,477.0
33,carrum,-38.074892999999996,145.12241799999998,1.0,19.0,0.0,2.0,10.0,0.0,0.0,CAR,220.0
34,bonbeach,-38.062945,145.11968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BON,35.0
35,chelsea,-38.051955,145.116041,1.0,16.0,0.0,0.0,6.0,2.0,0.0,CSA,198.0
36,edithvale,-38.038056,145.10853600000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,EDI,34.0
37,aspendale,-38.02722,145.10215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ASP,78.0
38,mordialloc,-38.006583,145.087659,1.0,20.0,0.0,0.0,20.0,0.0,0.0,MOR,220.0
39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
40,mentone,-37.981865,145.065166,1.0,12.0,0.0,1.0,8.0,0.0,0.0,MEN,272.0
41,cheltenham,-37.96665,145.054558,1.0,41.0,0.0,0.0,16.0,0.0,1.0,CTM,356.0
42,upper ferntree gully,-37.892672,145.30752999999999,1.0,8.0,0.0,0.0,8.0,0.0,0.0,UFG,308.0
43,ferntree gully,-37.881698,145.295251,1.0,47.0,0.0,0.0,21.0,0.0,1.0,FTG,401.0
44,boronia,-37.860451999999995,145.284385,1.0,25.0,0.0,0.0,0.0,0.0,1.0,BOR,394.0
45,bayswater,-37.84173,145.268136,1.0,46.0,0.0,1.0,0.0,0.0,1.0,BAY,393.0
46,heathmont,-37.828322,145.244555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,HMT,112.0
47,highett,-37.948425,145.041872,1.0,26.0,0.0,0.0,0.0,0.0,1.0,HIG,116.0
48,glen waverley,-37.879504,145.162058,1.0,29.0,0.0,1.0,0.0,0.0,1.0,GWY,332.0
49,syndal,-37.87623,145.14978,1.0,26.0,0.0,0.0,0.0,1.0,1.0,SYN,585.0
50,mount waverley,-37.875254999999996,145.12805600000002,1.0,17.0,0.0,0.0,8.0,1.0,0.0,MWY,214.0
51,lilydale,-37.755517999999995,145.34771,1.0,17.0,0.0,1.0,12.0,0.0,0.0,LIL,531.0
52,mooroolbark,-37.784749,145.312402,1.0,6.0,0.0,1.0,0.0,0.0,0.0,MLK,475.0
53,croydon,-37.795437,145.280598,1.0,29.0,0.0,0.0,4.0,0.0,1.0,CDN,290.0
54,ringwood east,-37.811968,145.250191,1.0,8.0,0.0,0.0,8.0,0.0,0.0,RWE,460.0
55,pakenham,-38.080614,145.486379,1.0,30.0,0.0,1.0,0.0,0.0,1.0,PKM,364.0
56,officer,-38.066145999999996,145.410987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,OFC,162.0
57,beaconsfield,-38.050830999999995,145.366074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BFD,341.0
58,berwick,-38.040408,145.345726,1.0,41.0,0.0,0.0,15.0,0.0,1.0,BEW,937.0
59,narre warren,-38.027809,145.303969,1.0,26.0,0.0,0.0,7.0,0.0,1.0,NWA,717.0
60,hallam,-38.017739999999996,145.269777,1.0,25.0,0.0,0.0,0.0,0.0,1.0,HLM,590.0
61,cranbourne,-38.099537,145.280599,1.0,44.0,0.0,0.0,18.0,1.0,1.0,CBE,683.0
62,merinda park,-38.079,145.263511,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MPK,204.0
63,dandenong,-37.989968,145.209725,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DNG,448.0
64,yarraman,-37.978255,145.1916,2.0,0.0,0.0,0.0,0.0,0.0,0.0,YMN,255.0
65,noble park,-37.967231999999996,145.176936,2.0,23.0,0.0,1.0,18.0,0.0,0.0,NPK,331.0
66,sandown park,-37.956505,145.162826,2.0,8.0,0.0,0.0,8.0,0.0,0.0,SNP,560.0
67,east camberwell,-37.825894,145.06819000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ECM,60.0
68,canterbury,-37.824484999999996,145.081224,2.0,0.0,0.0,0.0,0.0,0.0,0.0,CBY,125.0
69,chatham,-37.8243,145.088648,2.0,0.0,0.0,0.0,0.0,0.0,0.0,CHM,8.0
70,surrey hills,-37.824148,145.098775,2.0,49.0,0.0,1.0,12.0,0.0,1.0,SHL,357.0
71,mont albert,-37.819427,145.10553,2.0,0.0,0.0,0.0,0.0,0.0,0.0,MAB,26.0
72,laburnum,-37.82078,145.140703,2.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,40.0
73,blackburn,-37.820071,145.150014,2.0,22.0,0.0,1.0,10.0,0.0,0.0,BBN,107.0
74,nunawading,-37.820603,145.174892,2.0,15.0,0.0,1.0,10.0,0.0,0.0,NWG,204.0
75,mitcham,-37.81801,145.191974,2.0,44.0,0.0,1.0,1.0,0.0,0.0,MCH,801.0
76,heatherdale,-37.818835,145.21355,2.0,38.0,0.0,3.0,0.0,0.0,1.0,HTD,518.0
77,ringwood,-37.815886,145.228968,2.0,28.0,0.0,2.0,0.0,0.0,1.0,RWD,303.0
78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
80,hawthorn,-37.821826,145.022899,3.0,0.0,0.0,0.0,0.0,0.0,0.0,HAW,11.0
81,burnley,-37.82756,145.007555,5.0,0.0,0.0,0.0,0.0,0.0,0.0,BLY,4.0
82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
85,kooyong,-37.839929,145.033552,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KYG,70.0
86,tooronga,-37.849365999999996,145.041734,1.0,8.0,0.0,0.0,8.0,0.0,0.0,TGA,189.0
87,gardiner,-37.853279,145.05165499999998,1.0,29.0,0.0,1.0,0.0,0.0,1.0,GAR,229.0
88,springvale,-37.949509,145.15345200000002,2.0,30.0,0.0,2.0,0.0,0.0,1.0,SPG,217.0
89,westall,-37.938491,145.138833,2.0,45.0,0.0,3.0,16.0,0.0,1.0,WTL,274.0
90,clayton,-37.924683,145.120534,2.0,8.0,0.0,0.0,8.0,0.0,0.0,CLA,298.0
91,huntingdale,-37.911017,145.102364,2.0,64.0,0.0,0.0,14.0,0.0,1.0,HUN,657.0
92,oakleigh,-37.900372,145.08830799999998,2.0,47.0,0.0,1.0,16.0,0.0,1.0,OAK,339.0
93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
96,werribee,-37.899378,144.661118,1.0,59.0,1.0,0.0,0.0,1.0,1.0,WER,582.0
97,hoppers crossing,-37.883275999999995,144.700955,1.0,48.0,0.0,0.0,0.0,0.0,1.0,HCG,566.0
98,laverton,-37.863693999999995,144.772617,1.0,0.0,0.0,0.0,0.0,0.0,2.0,LAV,947.0
99,aircraft,-37.866606,144.760809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ACF,201.0
100,westona,-37.865162999999995,144.813494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WTO,78.0
101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
102,seaholme,-37.867841999999996,144.840958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SHE,7.0
103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
104,dennis,-37.779187,145.008242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,36.0
105,fairfield,-37.779171,145.016905,1.0,12.0,0.0,0.0,12.0,0.0,0.0,FFD,106.0
106,alphington,-37.778394,145.031255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ALP,119.0
107,darebin,-37.774963,145.038476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DBN,26.0
108,ivanhoe,-37.768896999999996,145.045425,1.0,16.0,0.0,0.0,16.0,0.0,0.0,IVA,297.0
109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
110,heidelberg,-37.757073,145.060686,1.0,37.0,0.0,1.0,6.0,0.0,1.0,HDB,300.0
111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
112,moorabbin,-37.934353,145.036738,1.0,14.0,0.0,0.0,14.0,0.0,0.0,MRN,30.0
113,patterson,-37.925149,145.03547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PAT,48.0
114,bentleigh,-37.917425,145.036995,1.0,0.0,0.0,0.0,0.0,0.0,1.0,BEN,205.0
115,mckinnon,-37.910309,145.038299,1.0,0.0,0.0,0.0,0.0,0.0,1.0,MCK,51.0
116,ormond,-37.903211999999996,145.039613,1.0,12.0,0.0,2.0,0.0,0.0,1.0,OMD,117.0
117,glenhuntly,-37.889719,145.042223,1.0,6.0,0.0,0.0,6.0,0.0,0.0,GHY,175.0
118,caulfield,-37.877459,145.042525,3.0,39.0,0.0,1.0,10.0,0.0,1.0,CFD,147.0
119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
123,sandringham,-37.95033,145.004561,1.0,6.0,1.0,0.0,0.0,0.0,1.0,SHM,122.0
124,hampton,-37.937977,145.00147099999998,1.0,5.0,0.0,0.0,5.0,0.0,0.0,HAM,167.0
125,brighton beach,-37.926483999999995,144.98915399999998,1.0,47.0,0.0,0.0,22.0,0.0,1.0,BBH,170.0
126,middle brighton,-37.915133999999995,144.996299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MBN,120.0
127,north brighton,-37.904886999999995,145.002605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NBN,105.0
128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
129,elsternwick,-37.884752999999996,145.000898,1.0,9.0,0.0,1.0,4.0,0.0,0.0,ELS,156.0
130,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
135,upfield,-37.666078,144.94674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,UFD,211.0
136,gowrie,-37.700677999999996,144.95887399999998,1.0,4.0,0.0,0.0,4.0,0.0,0.0,GOW,118.0
137,fawkner,-37.714621,144.960545,1.0,26.0,0.0,0.0,0.0,0.0,1.0,FAK,76.0
138,merlynston,-37.720934,144.961314,1.0,8.0,0.0,0.0,8.0,0.0,0.0,MYN,218.0
139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
140,coburg,-37.742345,144.963336,1.0,50.0,0.0,2.0,16.0,0.0,1.0,COB,350.0
141,moreland,-37.754484999999995,144.96182299999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MLD,196.0
142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
143,brunswick,-37.767721,144.959587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BWK,7.0
144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
147,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
148,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
149,clifton hill,-37.788657,144.995417,2.0,26.0,0.0,0.0,0.0,0.0,1.0,CHL,90.0
150,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
155,macleod,-37.726012,145.069143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MCD,102.0
156,watsonia,-37.710958,145.08379300000001,1.0,35.0,0.0,1.0,4.0,0.0,1.0,WAT,534.0
157,greensborough,-37.703953999999996,145.108247,1.0,34.0,0.0,0.0,8.0,0.0,1.0,GRN,212.0
158,montmorency,-37.715295999999995,145.12151599999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MMY,93.0
159,eltham,-37.71355,145.147822,1.0,9.0,1.0,0.0,8.0,0.0,0.0,ELT,397.0
160,diamond creek,-37.673297,145.158506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DCK,30.0
161,wattle glen,-37.663968,145.181615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WTT,53.0
162,hurstbridge,-37.639398,145.192017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,HBE,75.0
163,williamstown,-37.867753,144.905323,1.0,4.0,0.0,0.0,4.0,0.0,0.0,WIL,13.0
164,williamstown beach,-37.863982,144.894484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WBH,74.0
165,north williamstown,-37.857333,144.889069,1.0,8.0,0.0,0.0,8.0,0.0,0.0,NWN,39.0
166,newport,-37.842718,144.8836,2.0,25.0,0.0,0.0,0.0,0.0,1.0,NPT,310.0
167,spotswood,-37.830639,144.885933,2.0,0.0,0.0,0.0,0.0,0.0,0.0,SPT,25.0
168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
170,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
171,keilor plains,-37.729279,144.793738,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KPL,636.0
172,st albans,-37.744861,144.80005,1.0,42.0,0.0,4.0,0.0,0.0,1.0,SAB,235.0
173,ginifer,-37.757511,144.809573,1.0,42.0,0.0,4.0,0.0,0.0,1.0,GIN,340.0
174,albion,-37.777653,144.824704,1.0,8.0,0.0,0.0,8.0,0.0,0.0,ALB,673.0
175,epping,-37.652387,145.030122,1.0,25.0,1.0,0.0,4.0,0.0,0.0,EPP,263.0
176,lalor,-37.665850999999996,145.017193,1.0,12.0,0.0,1.0,4.0,0.0,0.0,LAL,417.0
177,thomastown,-37.680338,145.014279,1.0,25.0,1.0,0.0,4.0,0.0,0.0,TSN,310.0
178,keon park,-37.69487,145.011884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KPK,154.0
179,ruthven,-37.707898,145.009517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RUT,125.0
180,reservoir,-37.716885,145.00699600000002,1.0,38.0,0.0,0.0,12.0,0.0,1.0,RES,495.0
181,regent,-37.728403,145.002773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,REG,215.0
182,preston,-37.738673999999996,145.000522,1.0,32.0,0.0,1.0,0.0,0.0,1.0,PRE,261.0
183,bell,-37.745562,145.000155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BEL,75.0
184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
186,northcote,-37.769864999999996,144.995277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NCE,5.0
187,merri,-37.777847,144.992972,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MER,6.0
188,rushall,-37.783217,144.99240700000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RUS,5.0
189,sunshine,-37.788536,144.832878,1.0,56.0,0.0,2.0,0.0,0.0,2.0,SUN,494.0
190,tottenham,-37.799251,144.862945,1.0,5.0,0.0,1.0,0.0,0.0,0.0,TOT,237.0
191,west footscray,-37.801809,144.885325,1.0,42.0,0.0,2.0,0.0,0.0,2.0,WFY,410.0
192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
193,footscray,-37.801083,144.903199,3.0,49.0,0.0,4.0,0.0,0.0,1.0,FSY,161.0
194,south kensington,-37.799531,144.925469,2.0,0.0,0.0,0.0,0.0,0.0,0.0,SKN,6.0
195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
196,broadmeadows,-37.683049,144.919613,1.0,33.0,0.0,0.0,8.0,0.0,1.0,BMS,210.0
197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
198,glenroy,-37.704536,144.91722,1.0,25.0,1.0,0.0,0.0,0.0,0.0,GRY,618.0
199,oak park,-37.717949999999995,144.921519,1.0,0.0,0.0,0.0,0.0,0.0,0.0,OKP,36.0
200,pascoe vale,-37.730756,144.928196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PVL,122.0
201,strathmore,-37.743590999999995,144.927316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SME,99.0
202,glenbervie,-37.747209999999995,144.920939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,GBV,63.0
203,essendon,-37.756012,144.916198,1.0,22.0,0.0,1.0,12.0,0.0,0.0,ESD,499.0
204,moonee ponds,-37.765707,144.919161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MPD,107.0
205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
208,box hill,-37.819221999999996,145.121429,2.0,10.0,0.0,0.0,10.0,0.0,0.0,BOX,507.0
209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
210,roxburgh park,-37.638231,144.935404,1.0,25.0,0.0,0.0,0.0,0.0,1.0,RXP,347.0
211,craigieburn,-37.601817,144.94332,1.0,6.0,0.0,0.0,6.0,0.0,0.0,CGB,529.0
212,coolaroo,-37.661003,144.926056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,CLO,486.0
213,lynbrook,-38.057341,145.249275,1.0,21.0,1.0,0.0,0.0,0.0,0.0,LBK,229.0
214,cardinia road,-38.07129,145.437791,1.0,21.0,1.0,0.0,0.0,0.0,0.0,CDA,328.0
215,south morang,-37.649159,145.06703199999998,1.0,21.0,1.0,0.0,0.0,0.0,0.0,SMG,909.0
216,williams landing,-37.869865,144.747445,1.0,46.0,0.0,0.0,0.0,0.0,1.0,WLD,666.0
217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
