STATION_NAME,ANNUAL_PATRONAGE,PRE_PEAK,AM_PEAK,INTERPEAK,PM_PEAK,POST_PEAK,WEEKDAY_ENTRIES,SAT_ENTRIES,SUN_ENTRIES,AVG_WEEKLY_ENTRIES,ACCESS_BUS,ACCESS_CAR,ACCESS_BIKE,ACCESS_OTHER,ACCESS_TRAIN,ACCESS_TRAM,ACCESS_WALK,PURPOSE_EDU,PURPOSE_NIL,PURPOSE_APTMNT,PURPOSE_SOCIAL,PURPOSE_TOURIST,PURPOSE_VISIT,PURPOSE_WORK
aircraft,0.2,106.9,332.24,130.37,120.32,20.17,710,330,240,4120,0.16,0.64,0,0,0,0,0.19,0.09,0,0.05,0.07,0,0.1,0.69
alamein,0.15,42.59,327.69,105.14,61.17,13.41,550,200,150,3100,0,0.11,0.01,0,0,0,0.88,0.31,0,0.07,0.09,0,0.02,0.51
albion,0.8,393.86,1730.51,572.45,308.6,74.58,3080,960,660,17020,0.07,0.56,0,0,0,0,0.37,0.25,0,0.03,0.09,0,0.04,0.58
alphington,0.27,49.52,554.63,181.45,153.72,30.68,970,430,290,5570,0,0.23,0,0,0,0,0.77,0.09,0,0.03,0.06,0,0.05,0.77
altona,0.31,132.88,442.01,217.26,152.24,55.62,1000,650,470,6120,0.13,0.29,0.01,0.01,0,0,0.56,0.13,0.01,0.08,0.16,0.01,0.03,0.59
anstey,0.37,92.56,575.96,269.92,202.57,68.98,1210,830,540,7420,0.03,0.09,0.04,0,0,0,0.84,0.1,0.02,0.07,0.09,0,0.06,0.66
armadale,0.61,85.33,953.29,438.97,480.29,112.12,2070,1240,780,12370,0,0.08,0,0.01,0,0.13,0.79,0.13,0,0.03,0.06,0,0.03,0.75
ascot vale,0.56,139.99,1136.1,373.15,232.49,68.27,1950,940,620,11310,0.02,0.26,0,0,0,0.08,0.64,0.12,0,0.05,0.07,0,0.06,0.7
ashburton,0.29,86.83,635.54,187.5,123.31,26.83,1060,350,240,5890,0.08,0.45,0.02,0,0.01,0,0.44,0.23,0.01,0.02,0.12,0,0.02,0.61
aspendale,0.23,69.18,463.92,146.11,105.86,24.93,810,400,260,4710,0,0.52,0.01,0,0,0,0.47,0.09,0,0.06,0.06,0,0.05,0.73
auburn,0.64,79.63,964.46,472.15,584.07,109.69,2210,1240,820,13110,0,0.09,0,0,0,0,0.91,0.11,0,0.04,0.04,0,0.04,0.76
balaclava,1.11,184.55,1673.54,785.9,755.41,250.61,3650,2200,1530,21980,0,0.07,0.01,0,0,0.1,0.82,0.18,0.01,0.05,0.07,0.01,0.06,0.62
batman,0.28,71.53,430.72,194.73,200.6,42.42,940,510,350,5560,0.06,0.13,0.02,0,0,0.01,0.78,0.18,0.01,0.02,0.07,0,0.04,0.68
bayswater,0.5,228.41,955.32,294.68,290.56,61.03,1830,680,460,10290,0.04,0.55,0.05,0,0.01,0,0.36,0.19,0.04,0.08,0.12,0,0,0.56
beaconsfield,0.21,193.26,367.53,119.19,147.03,13,840,200,130,4530,0.04,0.65,0.08,0,0,0,0.23,0.14,0.01,0.06,0.1,0,0.09,0.6
belgrave,0.36,175.03,473.36,257.06,284.57,29.98,1220,690,540,7330,0.16,0.39,0,0.01,0.04,0,0.4,0.28,0.01,0.06,0.19,0.07,0.08,0.32
bell,0.43,95.75,563.26,346.55,351.22,83.21,1440,890,630,8720,0.04,0.11,0.02,0.01,0,0,0.83,0.21,0,0.05,0.09,0.02,0.1,0.53
bentleigh,0.79,189.22,1171.25,655.3,470.87,123.36,2610,1560,1110,15720,0.1,0.25,0.01,0,0.04,0,0.6,0.12,0.03,0.03,0.14,0,0.09,0.59
berwick,0.83,615.61,1361.99,545.14,605.18,62.09,3190,900,590,17440,0.11,0.5,0,0.01,0.01,0,0.36,0.33,0,0.09,0.04,0,0.06,0.48
blackburn,1.41,360.29,2307.13,896.31,863.86,162.4,4590,2310,1600,26860,0.29,0.36,0,0,0.03,0,0.31,0.23,0.1,0.15,0.05,0.01,0.05,0.42
bonbeach,0.21,89.42,385.45,144.44,70.75,19.94,710,390,260,4200,0,0.35,0,0,0,0,0.65,0.16,0.03,0.04,0.1,0,0.04,0.63
boronia,0.63,311.46,1206.07,453.83,271.04,67.6,2310,970,650,13170,0.18,0.43,0.01,0,0.01,0,0.37,0.21,0,0.09,0.1,0.01,0.08,0.51
box hill,3.25,474.06,3324.38,3033.89,3707.21,630.45,11170,6250,4490,66590,0.26,0.14,0,0,0.1,0.03,0.47,0.21,0,0.05,0.12,0,0.08,0.54
brighton beach,0.5,131.87,847.18,284.64,300.84,65.48,1630,990,750,9890,0,0.67,0.04,0,0.01,0,0.28,0.17,0.02,0.02,0.14,0,0.05,0.6
broadmeadows,0.78,142.59,624.57,874.96,872.55,145.33,2660,1450,1040,15790,0.31,0.21,0,0.09,0.06,0,0.31,0.24,0.04,0.1,0.13,0.03,0.07,0.39
brunswick,0.35,54.26,414.07,264.29,322.02,95.37,1150,780,550,7080,0.04,0.07,0.03,0,0.01,0,0.86,0.15,0,0.05,0.12,0,0.09,0.58
burnley,0.72,74.15,926.39,421.66,830.66,207.14,2460,1480,1000,14780,0,0.04,0.02,0,0.22,0.07,0.64,0.16,0.04,0.01,0.2,0.01,0,0.59
burwood,0.35,71.19,807.91,214.53,188.99,27.37,1310,380,240,7170,0,0.42,0.01,0,0,0.14,0.43,0.21,0.02,0.08,0.05,0.03,0.02,0.59
camberwell,2,185.68,2186.57,1283.07,2626.62,458.06,6740,3390,3270,40360,0,0.13,0,0,0.2,0.08,0.59,0.18,0.03,0.04,0.02,0.01,0.03,0.68
canterbury,0.38,72.41,663.94,267.13,331.56,44.96,1380,570,400,7870,0,0.35,0.02,0,0.02,0,0.61,0.2,0,0.04,0.04,0,0.03,0.69
cardinia road,0.25,258.68,406.36,135.36,75.25,24.35,900,340,230,5070,0.01,0.51,0.02,0,0.01,0,0.45,0.35,0,0.09,0.04,0,0.04,0.48
carnegie,0.95,176.35,1521.97,747.48,474.01,220.2,3140,1960,1360,19020,0.09,0.18,0,0,0.01,0,0.72,0.2,0.01,0.03,0.12,0,0.05,0.58
carrum,0.44,234.67,719.44,301.52,182.96,41.41,1480,830,560,8790,0.03,0.48,0,0,0,0,0.49,0.13,0,0.2,0.07,0,0.01,0.59
caulfield,3.34,285.11,2633.56,2701.12,4375.81,1364.39,11360,6750,4630,68180,0.05,0.15,0.01,0,0.18,0.11,0.51,0.33,0,0.03,0.09,0,0.06,0.48
chatham,0.24,47.42,479.28,162.05,134.68,26.57,850,340,230,4820,0,0.31,0.02,0,0,0,0.67,0.28,0.01,0.02,0.08,0,0.01,0.6
chelsea,0.51,182.23,785.96,421.18,263.21,67.42,1720,980,680,10260,0.06,0.36,0.01,0.05,0.03,0,0.49,0.08,0.01,0.11,0.21,0,0.1,0.49
cheltenham,0.96,242.65,1477.46,638.41,709.77,171.71,3240,1790,1240,19230,0.08,0.26,0.03,0,0.02,0,0.6,0.16,0,0.11,0.15,0,0.02,0.57
clayton,1.5,284.67,1535.31,1378.45,1358.27,363.3,4920,3340,2330,30270,0.22,0.26,0.03,0.02,0.07,0,0.4,0.22,0.03,0.13,0.08,0,0.06,0.48
clifton hill,0.96,154.25,1318.39,663.71,666.11,237.53,3040,2290,1690,19180,0.01,0.14,0.02,0,0.38,0,0.45,0.13,0.01,0.07,0.1,0.02,0.05,0.62
coburg,0.65,166.59,925.33,573.22,402.17,102.68,2170,1320,880,13050,0.22,0.24,0,0,0.01,0.01,0.53,0.21,0.01,0.05,0.1,0,0.04,0.59
collingwood,0.38,32.31,317.6,263.02,647.64,99.43,1360,670,440,7910,0,0.02,0,0,0,0,0.98,0.2,0,0.04,0.13,0.01,0.13,0.48
coolaroo,0.24,74.27,499.89,223.36,72.9,19.58,890,310,230,4990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craigieburn,0.82,597.53,1391.31,538.02,259.29,73.85,2860,1400,950,16650,0.2,0.48,0,0,0.03,0,0.29,0.21,0.03,0.09,0.13,0,0.02,0.52
cranbourne,0.6,480.02,942.87,424.51,229.48,53.12,2130,900,630,12180,0.28,0.49,0,0.02,0,0,0.21,0.19,0,0.07,0.09,0,0.03,0.61
croxton,0.31,72.26,577.84,204.64,130.34,44.91,1030,610,400,6160,0.01,0.15,0.01,0,0,0,0.84,0.16,0,0.06,0.17,0,0.03,0.59
croydon,0.82,429.7,1471.59,606.47,421.09,71.14,3000,1240,760,17000,0.25,0.4,0,0,0.02,0,0.32,0.32,0,0.11,0.1,0,0.02,0.46
dandenong,2.39,545.44,2278.5,2237.67,2693.41,544.98,8300,4340,3010,48850,0.31,0.27,0.01,0.01,0.12,0,0.29,0.25,0.02,0.14,0.06,0,0.07,0.46
darebin,0.14,20.21,285.25,99.97,103.11,11.46,520,180,120,2900,0,0.48,0.02,0.01,0.01,0,0.48,0.05,0.02,0.05,0.09,0.01,0.31,0.47
darling,0.3,47.49,676.14,181.83,125.93,28.61,1060,430,290,6020,0,0.53,0,0,0,0,0.47,0.19,0.01,0.03,0.12,0,0.04,0.62
dennis,0.37,74.99,771.66,228.77,183.43,41.15,1300,600,400,7500,0.06,0.27,0.02,0,0,0,0.65,0.17,0,0.04,0.07,0.01,0.03,0.69
diamond creek,0.17,115.88,329.75,98.77,66.88,18.71,630,270,170,3590,0,0.34,0.03,0,0,0,0.64,0.3,0,0.1,0.13,0,0.06,0.42
diggers rest,0.07,42.04,155.43,43.99,14.77,3.77,260,70,50,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eaglemont,0.18,43.84,389.63,133.89,56.2,16.44,640,290,180,3670,0,0.46,0.01,0,0.01,0,0.52,0.16,0.01,0.07,0.06,0.02,0.1,0.58
east camberwell,0.25,27.94,404.27,194.29,351.89,21.61,1000,280,180,5460,0,0.2,0,0,0.06,0,0.74,0.13,0,0.13,0.13,0.02,0,0.59
east malvern,0.47,107.67,1181.69,232.32,148.04,30.27,1700,620,410,9530,0,0.84,0,0,0,0,0.16,0.18,0,0.02,0.04,0,0.06,0.7
east richmond,0.53,26.59,364.42,297.92,1079.13,211.94,1980,570,330,10800,0,0,0,0,0.06,0,0.93,0.1,0,0,0.13,0.01,0.04,0.72
edithvale,0.31,95.65,574.19,210.18,130.68,39.3,1050,590,390,6230,0.14,0.26,0.02,0,0,0,0.59,0.09,0.01,0.05,0.23,0,0.1,0.52
elsternwick,1.07,188.36,1740.05,742.58,733.75,245.26,3650,2040,1330,21620,0.05,0.23,0,0,0.02,0.19,0.51,0.14,0.03,0.07,0.08,0.01,0.02,0.65
eltham,0.58,289.61,1036.32,338.78,374.65,50.64,2090,880,570,11900,0.09,0.48,0,0,0.02,0,0.4,0.23,0,0.02,0.16,0,0.04,0.55
epping,0.72,332.18,939.08,570.14,649.16,99.45,2590,1180,780,14910,0.21,0.37,0.02,0.02,0.01,0,0.38,0.37,0,0.05,0.03,0,0.05,0.5
essendon,1.6,527.39,3082.37,997.03,903.87,169.35,5680,2480,1560,32440,0.36,0.29,0,0.01,0.01,0.15,0.19,0.27,0.01,0.06,0.13,0,0.03,0.5
fairfield,0.64,152.04,1175.2,428.45,334.37,89.93,2180,1180,780,12860,0.05,0.21,0.01,0,0,0,0.73,0.11,0,0.03,0.08,0,0.15,0.63
fawkner,0.19,72.82,304.54,142.89,102.79,26.97,650,350,250,3850,0.03,0.41,0.01,0.02,0.05,0,0.5,0.26,0.07,0.12,0.03,0,0.04,0.48
ferntree gully,0.43,236.92,924.33,249.99,183.54,35.22,1630,520,370,9040,0.1,0.55,0,0.02,0.01,0,0.32,0.22,0,0.12,0.08,0,0,0.58
flagstaff,4.58,49.05,652.41,2518.94,14548.2,1521.38,19290,0,0,96450,0,0,0,0,0.39,0.03,0.57,0.09,0.1,0.05,0.02,0,0.02,0.72
flemington bridge,0.23,40.94,261.39,188.33,186.11,53.22,730,560,370,4580,0,0.01,0,0,0,0.06,0.93,0.23,0.02,0.11,0.09,0,0.06,0.49
flinders street,27.96,664.66,4603.83,17900.9,53506.9,15413.7,92090,53680,41710,555840,0.01,0,0,0,0.32,0.14,0.53,0.18,0.01,0.1,0.08,0.02,0.07,0.54
footscray,3.77,451.86,3501.24,3887.66,3929.48,879.76,12650,7450,4990,75690,0.14,0.16,0.01,0,0.15,0.05,0.49,0.37,0.01,0.07,0.07,0.01,0.1,0.38
frankston,1.67,881.15,1712.04,1404.23,1098.11,184.48,5280,3810,2890,33100,0.25,0.41,0,0,0.06,0,0.28,0.19,0,0.13,0.2,0.01,0.06,0.41
gardenvale,0.47,62.42,857.01,342.84,335.45,72.28,1670,810,500,9660,0.12,0.11,0.01,0.02,0,0,0.74,0.16,0,0.08,0.11,0.01,0.04,0.61
gardiner,0.43,75.59,765.74,278.43,255.95,54.3,1430,800,560,8510,0,0.33,0,0,0,0.06,0.61,0.19,0.16,0.05,0.13,0,0.01,0.45
ginifer,0.57,182.21,999.82,561.79,284.22,61.96,2090,980,700,12130,0.13,0.36,0,0,0,0,0.51,0.27,0,0.03,0.17,0,0.04,0.49
glen iris,0.31,46.22,528.97,205.04,318.02,41.76,1140,500,330,6530,0.16,0.41,0,0,0.08,0.06,0.28,0.16,0.01,0.13,0.03,0.07,0.01,0.59
glen waverley,1.69,544.87,2735.76,1184.67,887.69,257.02,5610,3290,2580,33920,0.22,0.47,0.01,0,0.01,0,0.3,0.26,0.02,0.09,0.05,0,0.1,0.49
glenbervie,0.34,117.44,782.09,186.54,108.8,25.13,1220,470,310,6880,0.02,0.53,0,0.01,0,0,0.44,0.16,0,0.05,0.14,0,0.03,0.62
glenferrie,2.86,116.74,1699.53,2876.22,5134.55,1062.96,10890,3420,2420,60290,0,0.05,0.01,0,0.16,0.04,0.75,0.5,0.01,0.05,0.06,0,0.05,0.33
glenhuntly,0.98,165.63,1524.2,820.47,576.56,153.14,3240,2020,1450,19670,0,0.12,0.01,0,0,0.1,0.77,0.09,0,0.07,0.13,0,0.05,0.66
glenroy,1.1,398.41,1811.74,934.76,540.86,124.22,3810,1810,1260,22120,0.07,0.32,0,0.01,0.03,0,0.57,0.27,0,0.04,0.13,0,0.03,0.52
gowrie,0.17,55.47,199.5,169.18,100.12,25.73,550,380,260,3390,0.08,0.21,0.02,0.02,0.01,0,0.66,0.17,0.02,0.17,0.19,0.02,0.03,0.39
greensborough,0.76,453.91,1316.61,470.29,336.22,72.97,2650,1330,850,15430,0.26,0.44,0.01,0.01,0,0,0.27,0.2,0.03,0.03,0.07,0,0.06,0.61
hallam,0.61,440.98,1200.37,333.4,286.44,48.8,2310,660,440,12650,0.14,0.62,0,0.04,0.04,0,0.15,0.3,0.09,0.07,0.02,0,0.02,0.5
hampton,0.45,75.92,797.75,324.23,247.51,74.58,1520,850,550,9000,0.07,0.23,0.03,0,0.02,0,0.65,0.18,0,0.04,0.15,0.01,0,0.62
hartwell,0.21,35.8,468.27,131.43,94.16,20.34,750,270,180,4200,0,0.12,0,0,0.01,0.02,0.85,0.3,0.01,0.05,0.07,0,0,0.56
hawksburn,0.51,81.64,850.94,350.54,298.12,98.76,1680,1070,690,10160,0,0.2,0.01,0,0,0,0.8,0.1,0,0.04,0.21,0,0,0.65
hawthorn,0.68,68.39,1008.79,456,807.52,109.29,2450,1010,680,13940,0,0.13,0.01,0,0.02,0.17,0.66,0.18,0.09,0.04,0.07,0,0.04,0.58
heatherdale,0.56,298.82,1377.97,280.6,210.56,32.06,2200,560,390,11950,0.1,0.54,0,0,0.01,0,0.35,0.15,0,0.02,0.04,0.01,0.02,0.76
heathmont,0.24,89.67,536.49,142.49,142.07,19.28,930,300,190,5140,0.01,0.34,0.02,0,0,0,0.63,0.1,0,0.08,0.15,0,0.03,0.64
heidelberg,0.9,195.77,1031.23,674.53,1170.82,147.65,3220,1290,920,18310,0.08,0.25,0.01,0,0,0,0.66,0.11,0.02,0.04,0.11,0.01,0.12,0.59
heyington,0.21,12.85,215.95,161.16,444.84,25.2,860,220,130,4650,0,0.06,0,0,0.04,0,0.9,0.04,0.16,0,0.02,0,0.03,0.74
highett,0.45,97.38,716.41,325.9,322.18,78.13,1540,870,580,9150,0.1,0.22,0.01,0.01,0,0,0.67,0.17,0.02,0.11,0.12,0,0.05,0.52
holmesglen,0.66,133.06,899.57,606.99,554.53,125.85,2320,1110,800,13510,0.12,0.22,0,0,0.07,0,0.59,0.37,0,0.07,0.06,0.02,0.01,0.47
hoppers crossing,1.36,804.02,2555.45,933.74,605.01,101.78,5000,1700,1130,27830,0.37,0.45,0.01,0.01,0,0,0.16,0.19,0.03,0.06,0.03,0,0.06,0.63
hughesdale,0.55,102.23,926.22,417.64,339.67,84.24,1870,990,680,11020,0.1,0.24,0.01,0,0.01,0,0.64,0.24,0,0.05,0.1,0,0.06,0.54
huntingdale,1.67,391.46,2259.53,1333.77,1980.63,294.62,6260,1950,1260,34510,0.49,0.35,0.03,0,0,0,0.13,0.33,0,0.05,0.05,0,0.02,0.55
hurstbridge,0.13,83.77,272.21,72.81,35.05,6.17,470,200,160,2710,0,0.61,0.02,0.01,0,0,0.37,0.26,0,0.02,0.08,0,0.03,0.62
ivanhoe,0.84,244.83,1572.32,501.47,582.47,98.91,3000,1300,820,17120,0.1,0.25,0.01,0,0.01,0,0.63,0.25,0,0.06,0.12,0,0.03,0.53
jacana,0.08,28.87,84.59,78.58,43.02,14.94,250,200,160,1610,0,0.1,0.01,0.02,0.06,0,0.81,0.28,0,0.12,0.14,0,0.16,0.3
jewell,0.42,61.34,451.92,340.19,425.37,111.18,1390,890,670,8510,0,0.06,0.01,0,0.02,0,0.91,0.31,0,0.05,0.12,0.01,0.05,0.47
jolimont-mcg,0.8,26.4,212.24,328.32,967.46,515.58,2050,2640,2000,14890,0,0,0.06,0,0.02,0.21,0.7,0.03,0,0.11,0.07,0.01,0.14,0.64
jordanville,0.32,83.53,627.82,214.46,139.69,34.5,1100,600,430,6530,0.11,0.38,0,0.01,0,0,0.5,0.17,0.02,0.05,0.06,0.01,0.06,0.63
kananook,0.33,182.65,552.49,258.81,164.92,31.13,1190,500,340,6790,0.17,0.45,0.02,0,0.01,0,0.34,0.15,0,0.13,0.1,0.01,0.07,0.54
keilor plains,0.56,290.97,1201.78,404.21,157.9,45.14,2100,760,560,11820,0.23,0.39,0.01,0.04,0,0,0.32,0.3,0,0.04,0.07,0,0.02,0.56
